Car Name,Attributes,Price,Currency
Land Rover RR Sport,"2010, 5.0 L, 160 000 km",21 500,$
BMW 320,"2013, 2.0 L, 152 000 km",28 500,AZN
Kia Sorento,"2023, 1.6 L, 46 000 km",58 500,AZN
Toyota Camry,"2021, 2.5 L, 128 000 km",29 900,$
Hyundai Accent,"2019, 1.6 L, 87 222 km",20 900,AZN
Hyundai Santa Fe,"2008, 2.0 L, 276 800 km",21 800,AZN
Nissan Note,"2017, 1.2 L, 46 000 km",18 400,AZN
Hyundai Santa Fe,"2013, 2.4 L, 135 000 km",24 200,AZN
Mercedes E 300 e,"2021, 2.0 L, 58 000 km",41 800,$
Land Rover Range Rover,"2020, 3.0 L, 87 000 km",57 000,$
Toyota Camry,"2022, 2.5 L, 75 000 km",27 900,$
Kia Sorento,"2006, 2.5 L, 350 000 km",13 600,AZN
BMW 520,"2023, 2.0 L, 37 600 km",49 900,$
Porsche Cayenne,"2017, 3.6 L, 145 000 km",33 000,$
Ford Transit,"1997, 2.5 L, 180 000 km",17 000,AZN
Toyota Prius PHV,"2012, 1.8 L, 371 758 km",15 900,AZN
Porsche Cayenne GTS,"2014, 4.8 L, 157 000 km",24 500,$
BMW 535,"2011, 3.0 L, 102 000 km",22 500,$
Mercedes GL 500 4MATIC,"2014, 4.7 L, 234 964 km",25 500,$
GAZ 31105,"2007, 2.3 L, 22 900 km",14 500,AZN
BMW 520,"2023, 2.0 L, 37 600 km",49 900,$
Hyundai Elantra,"2017, 2.0 L, 108 000 km",22 300,AZN
Land Rover Range Rover,"2017, 3.0 L, 220 000 km",40 000,$
BMW 528,"2016, 2.0 L, 132 000 km",21 000,$
Lexus RX 350,"2018, 3.5 L, 133 000 km",38 900,$
Land Rover RR Sport,"2017, 3.0 L, 129 500 km",43 800,$
Mercedes GLA 45 AMG 4MATIC,"2015, 2.0 L, 119 000 km",25 500,$
Land Rover RR Sport,"2020, 3.0 L, 80 027 km",58 000,$
Mercedes E 250,"2018, 2.0 L, 41 900 km",41 500,$
Ford Edge,"2016, 2.0 L, 103 000 km",27 900,AZN
Kia Cerato,"2012, 1.6 L, 265 000 km",14 500,AZN
BMW XM,"2023, 4.4 L, 29 400 km",167 400,$
Land Rover Range Rover,"2018, 3.0 L, 136 000 km",64 000,$
Nissan Note,"2015, 1.2 L, 850 000 km",17 000,AZN
BMW 528,"2016, 2.0 L, 154 000 km",26 900,AZN
